SGDNesterov_Dropout,0.8071,0.8627,0.9201,0.9396,0.9770,0.9827,1.0631,1.0620,1.2178,1.3047,1.2620,1.3714,1.3314,1.3756,1.5447,1.5584,1.4743,1.5127,1.4651,1.4840
SGDNesterov,0.5498,0.4962,0.5229,0.5047,0.5023,0.5060,0.5081,0.5105,0.5138,0.5133,0.5002,0.5464,0.5242,0.4819,0.4900,0.4704,0.4989,0.4981,0.5265,0.5011
Adagrad_Dropout,0.6342,0.4779,0.4362,0.4152,0.3936,0.3816,0.3707,0.3617,0.3514,0.3439,0.3386,0.3335,0.3266,0.3252,0.3183,0.3148,0.3126,0.3081,0.3032,0.2994
Adagrad,0.5507,0.4030,0.3606,0.3341,0.3135,0.2971,0.2826,0.2709,0.2607,0.2513,0.2425,0.2344,0.2263,0.2189,0.2112,0.2042,0.1990,0.1919,0.1864,0.1804
RMSProp_Dropout,1.0986,0.8246,0.8285,0.8310,0.8168,0.8352,0.8374,0.8381,0.8175,0.8255,0.8314,0.8131,0.8244,0.8300,0.8231,0.8317,0.8183,0.8260,0.8160,0.7993
RMSProp,0.9350,0.5728,0.5588,0.5695,0.5721,0.5843,0.6086,0.6311,0.6525,0.6589,0.6781,0.7204,0.7304,0.7492,0.7674,0.7786,0.8221,0.8241,0.8631,0.9097
AdaDelta_Dropout,1.0749,0.6762,0.6040,0.5661,0.5434,0.5252,0.5126,0.4977,0.4858,0.4795,0.4700,0.4640,0.4562,0.4515,0.4446,0.4362,0.4320,0.4315,0.4250,0.4203
AdaDelta,0.8523,0.5356,0.4796,0.4499,0.4294,0.4148,0.4020,0.3919,0.3831,0.3756,0.3682,0.3626,0.3568,0.3520,0.3473,0.3424,0.3376,0.3338,0.3300,0.3260
Adam_Dropout,0.9171,0.8167,0.8048,0.8114,0.8044,0.8039,0.7888,0.8103,0.7796,0.7807,0.8076,0.7931,0.7844,0.7720,0.7885,0.7944,0.7890,0.7897,0.7874,0.7754
Adam,0.6196,0.4755,0.4602,0.4395,0.4427,0.4251,0.4401,0.4227,0.4141,0.4115,0.4092,0.4012,0.3974,0.3971,0.3977,0.3924,0.3933,0.3906,0.3925,0.3903
